subject,session,experiment_phase,trial_index,log_num,log_time
SC000,0,STUDY2,106,0,329258.87886431755
SC000,0,STUDY2,107,0,329265.266090769
SC000,0,STUDY2,108,0,329272.189987148
SC000,0,STUDY2,109,0,329278.580489642
SC000,0,STUDY2,110,0,329285.3171123495
SC000,0,STUDY2,111,0,329292.6804887415
SC000,0,STUDY2,112,0,329299.4629364775
SC000,0,STUDY2,113,0,329305.54248441197
SC000,0,STUDY2,114,0,329311.83210160653
SC000,0,STUDY2,115,0,329318.368110378
SC000,0,STUDY2,116,0,329324.4737060895
SC000,0,STUDY2,117,0,329332.024463822
SC000,0,STUDY2,118,0,329338.3733435845
SC000,0,STUDY2,119,0,329344.715913574
SC000,0,STUDY2,120,0,329351.57157625153
SC000,0,STUDY2,121,0,329358.087622933
SC000,0,STUDY2,122,0,329364.91242773447
SC000,0,STUDY2,123,0,329371.824590057
SC000,0,STUDY2,124,0,329378.266894368
SC000,0,STUDY2,125,0,329384.743779828
SC000,0,STUDY2,126,0,329391.040571837
SC000,0,STUDY2,127,0,329397.2084306285
SC000,0,STUDY2,128,0,329404.3727577015
SC000,0,STUDY2,129,0,329411.020212827
SC000,0,STUDY2,130,0,329417.545923523
SC000,0,STUDY2,131,0,329424.07847809803
SC000,0,STUDY2,132,0,329431.18616165547
SC000,0,STUDY2,133,0,329439.1152637345
SC000,0,STUDY2,134,0,329447.061672848
SC000,0,STUDY2,135,0,329453.3508820795
SC000,0,STUDY2,136,0,329460.53653256595
SC000,0,STUDY2,137,0,329467.1614936805
SC000,0,STUDY2,138,0,329474.189653385
SC000,0,STUDY2,139,0,329480.8989110085
SC000,0,STUDY2,140,0,329486.99002193904
SC000,0,STUDY2,141,0,329493.375668802
SC000,0,STUDY2,142,0,329499.637677562
SC000,0,STUDY2,143,0,329506.407308052
SC000,0,STUDY2,144,0,329512.7716614065
SC000,0,STUDY2,145,0,329519.6946218945
SC000,0,STUDY2,146,0,329526.197992429
SC000,0,STUDY2,147,0,329532.31856986205
SC000,0,STUDY2,148,0,329538.515868288
SC000,0,STUDY2,149,0,329544.7363582815
SC000,0,STUDY2,150,0,329551.28257273696
SC000,0,STUDY2,151,0,329558.00581959
SC000,0,STUDY2,152,0,329564.2583054655
SC000,0,STUDY2,153,0,329570.20650100696
SC000,0,STUDY2,154,0,329577.082388742
SC000,0,STUDY2,155,0,329583.51487584796
SC000,0,STUDY2,156,0,329589.7944404055
SC000,0,STUDY2,157,0,329596.3863286575
SC000,0,STUDY2,158,0,329602.554313907
SC000,0,STUDY2,159,0,329608.7525733115
