subject,session,experiment_phase,trial_index,pulse_time,log_num,log_time
SC000,0,STUDY1,173,327818218.45936406,0,327822.473834448
SC000,0,STUDY1,174,327825473.975097,0,327828.6084141195
SC000,0,STUDY1,175,327831608.707469,0,327835.31572781247
SC000,0,STUDY1,176,327838316.386558,0,327841.62527732353
SC000,0,STUDY1,177,327844630.428939,0,327847.7528980695
SC000,0,STUDY1,178,327850758.309776,0,327854.2217362505
SC000,0,STUDY1,179,327857222.383596,0,327860.980082892
SC000,0,STUDY1,180,327863980.358741,0,327869.049260309
SC000,0,STUDY1,181,327872049.497421,0,327875.4670328065
SC000,0,STUDY1,182,327878467.541003,0,327882.0700478235
SC000,0,STUDY1,183,327885076.22712404,0,327888.5082948115
SC000,0,STUDY1,184,327891508.44988304,0,327895.132245317
SC000,0,STUDY1,185,327898133.242962,0,327901.48319867754
SC000,0,STUDY1,186,327904483.81308097,0,327907.9490671425
SC000,0,STUDY1,187,327910954.271434,0,327914.169356626
SC000,0,STUDY1,188,327917169.86769,0,327920.874532311
SC000,0,STUDY1,189,327923875.196297,0,327927.359562114
SC000,0,STUDY1,190,327930360.26027,0,327933.8506252585
SC000,0,STUDY1,191,327936856.08287203,0,327941.004578973
SC000,0,STUDY1,192,327944010.147069,0,327947.14778888505
SC000,0,STUDY1,193,327950148.298864,0,327954.45917188155
SC000,0,STUDY1,194,327957459.651492,0,327962.09812191396
SC000,0,STUDY1,195,327965098.275296,0,327970.2136178615
SC000,0,STUDY1,196,327973213.960693,0,327976.178303839
SC000,0,STUDY1,197,327979185.42043203,0,327982.190246197
SC000,0,STUDY1,198,327985190.341854,0,327989.159744027
SC000,0,STUDY1,199,327992159.860025,0,327995.5388117635
SC000,0,STUDY1,200,327998543.639509,0,328002.0096232
SC000,0,STUDY1,201,328005009.90917,0,328008.5853067055
SC000,0,STUDY1,202,328011585.834071,0,328015.269360923
SC000,0,STUDY1,203,328018273.830756,0,328021.52183385496
SC000,0,STUDY1,204,328024522.417336,0,328027.714041924
SC000,0,STUDY1,205,328030714.326807,0,328034.856501019
SC000,0,STUDY1,206,328037857.328197,0,328040.8818101635
SC000,0,STUDY1,207,328043882.070297,0,328047.0409202435
SC000,0,STUDY1,208,328050045.915253,0,328054.76472071104
SC000,0,STUDY1,209,328057764.942626,0,328060.8962867395
SC000,0,STUDY1,210,328063896.970637,0,328067.36579923704
SC000,0,STUDY1,211,328070365.946287,0,328073.4292530125
SC000,0,STUDY1,212,328076433.149741,0,328080.251227693
SC000,0,STUDY1,213,328083255.829023,0,328086.8031381655
SC000,0,STUDY1,214,328089809.053156,0,328093.7232650155
