subject,session,experiment_phase,event,trial_index,noun,noun_type,noun_category,environment,test_condition,response,time_to_respond,log_num,log_time
SC000,0,STUDY1,ENCODING_LONG,96,CHAIR,INANIMATE,furniture,canyon,REARRANGED,S,1275.8148650173098,0,327299.92834851705
SC000,0,STUDY1,ENCODING_LONG,97,JAM,INANIMATE,food,sand_dunes,SAME,S,1942.5238035037182,0,327306.9015254285
SC000,0,STUDY1,ENCODING_LONG,98,JEEP,INANIMATE,vehicles,canyon,SAME,S,2258.2455630181357,0,327314.188585715
SC000,0,STUDY1,ENCODING_LONG,99,OFFICER,ANIMATE,people,sand_dunes,SAME,A,1616.748565575108,0,327320.83090196655
SC000,0,STUDY1,ENCODING_LONG,100,APPLE,INANIMATE,food,beach,REARRANGED,S,2217.0678515103646,0,327328.0868818285
SC000,0,STUDY1,ENCODING_LONG,101,FLAMINGO,ANIMATE,birds,sand_dunes,REARRANGED,A,1845.9651109878905,0,327334.962763801
SC000,0,STUDY1,ENCODING_LONG,102,PILLOW,INANIMATE,furniture,sand_dunes,REARRANGED,S,2577.571327565238,0,327342.56553215254
SC000,0,STUDY1,ENCODING_LONG,103,JUDGE,ANIMATE,people,canyon,REARRANGED,A,2083.3115790155716,0,327349.674531947
SC000,0,STUDY1,ENCODING_LONG,104,MITTEN,INANIMATE,clothing,canyon,SAME,S,1819.187527464237,0,327356.5181831145
SC000,0,STUDY1,ENCODING_LONG,105,TURKEY,ANIMATE,birds,beach,SAME,A,1542.5242629717104,0,327363.090051079
SC000,0,STUDY1,ENCODING_LONG,106,DANCER,ANIMATE,people,beach,SAME,A,1844.9789925361983,0,327369.9622647605
SC000,0,STUDY1,ENCODING_LONG,107,SEAGULL,ANIMATE,birds,beach,SAME,A,1447.2366234986112,0,327376.4341834535
SC000,0,STUDY1,ENCODING_LONG,108,YOGURT,INANIMATE,food,canyon,SAME,S,1513.199327455368,0,327382.97634197946
SC000,0,STUDY1,ENCODING_LONG,109,STUDENT,ANIMATE,people,canyon,SAME,A,1516.5466195321642,0,327389.53021234355
SC000,0,STUDY1,ENCODING_LONG,110,SOCK,INANIMATE,clothing,canyon,SAME,S,1285.4261365137063,0,327395.8435549365
SC000,0,STUDY1,ENCODING_LONG,111,SKIRT,INANIMATE,clothing,beach,REARRANGED,S,1504.0022685425356,0,327402.37182317255
SC000,0,STUDY1,ENCODING_LONG,112,PRIEST,ANIMATE,people,sand_dunes,REARRANGED,A,2184.9785270169377,0,327409.596449549
SC000,0,STUDY1,ENCODING_LONG,113,SINGER,ANIMATE,people,sand_dunes,SAME,A,1753.2961360411718,0,327416.375539307
SC000,0,STUDY1,ENCODING_LONG,114,KETCHUP,INANIMATE,food,beach,SAME,S,1905.4593620239757,0,327423.306833019
SC000,0,STUDY1,ENCODING_LONG,115,OVERALLS,INANIMATE,clothing,beach,SAME,S,2779.36177252559,0,327431.12431963754
SC000,0,STUDY1,ENCODING_LONG,116,HELICOPTER,INANIMATE,vehicles,beach,SAME,S,1498.6705215414986,0,327437.6608884445
SC000,0,STUDY1,ENCODING_LONG,117,KOALA,ANIMATE,mammals,canyon,SAME,A,1816.8736859806813,0,327444.504666655
SC000,0,STUDY1,ENCODING_LONG,118,WAGON,INANIMATE,vehicles,sand_dunes,SAME,S,2047.6367285009474,0,327451.5939429535
SC000,0,STUDY1,ENCODING_LONG,119,PARROT,ANIMATE,birds,canyon,SAME,A,1199.2702084826306,0,327457.8184970225
SC000,0,STUDY1,ENCODING_LONG,120,MUFFIN,INANIMATE,food,sand_dunes,REARRANGED,S,1229.6858199988492,0,327464.075473384
SC000,0,STUDY1,ENCODING_LONG,121,CAKE,INANIMATE,food,sand_dunes,SAME,S,1941.460732021369,0,327471.047089156
SC000,0,STUDY1,ENCODING_LONG,122,WOODPECKER,ANIMATE,birds,sand_dunes,SAME,A,2862.9904094850644,0,327478.9415240985
SC000,0,STUDY1,ENCODING_LONG,123,FOX,ANIMATE,mammals,canyon,REARRANGED,A,1596.7261390178464,0,327485.563990382
SC000,0,STUDY1,ENCODING_LONG,124,GRILL,INANIMATE,furniture,beach,SAME,S,1716.1848369869404,0,327492.304834351
SC000,0,STUDY1,ENCODING_LONG,125,TANK,INANIMATE,vehicles,canyon,SAME,S,1582.1961690089665,0,327498.911764311
SC000,0,STUDY1,ENCODING_LONG,126,GIRAFFE,ANIMATE,mammals,beach,SAME,A,1283.4417085396126,0,327505.2223925875
