subject,session,experiment_phase,event,trial_index,sync_time,orient_time,trial_time,time_to_respond,log_num,log_time
SC000,0,STUDY1,ENCODING_LONG,150,327662239.84800404,327662259.454463,327664247.651648,1850.4515109816566,0,327666.109905974
SC000,0,STUDY1,ENCODING_LONG,151,327669115.357693,327669134.949737,327671122.60732,1399.0934339817613,0,327672.534043171
SC000,0,STUDY1,ENCODING_LONG,152,327675539.71828604,327675559.07894796,327677546.99411696,2209.4081779941916,0,327679.768487126
SC000,0,STUDY1,ENCODING_LONG,153,327682773.145822,327682792.65748805,327684785.525895,1256.430338951759,0,327686.049087827
SC000,0,STUDY1,ENCODING_LONG,154,327689054.689219,327689074.354078,327691062.27506804,1748.8864150363952,0,327692.823240493
SC000,0,STUDY1,ENCODING_LONG,155,327695823.645947,327695863.479461,327697839.9229,2074.3614539969712,0,327699.937840915
SC000,0,STUDY1,ENCODING_LONG,156,327702942.897691,327702962.16654104,327704951.68493,1857.9810439841822,0,327706.820147585
SC000,0,STUDY1,ENCODING_LONG,157,327709820.232212,327709847.25836897,327711840.320131,2130.7883855188265,0,327713.9780467545
SC000,0,STUDY1,ENCODING_LONG,158,327716983.426629,327717003.32144004,327718991.57246304,1681.6786724957637,0,327720.6850001125
SC000,0,STUDY1,ENCODING_LONG,159,327723685.756461,327723725.36410296,327725696.554827,1178.9905314799398,0,327726.90435463446
SC000,0,STUDY1,ENCODING_LONG,160,327729909.657054,327729929.161411,327731925.578964,1709.0041894698516,0,327733.6381656005
SC000,0,STUDY1,ENCODING_LONG,161,327736643.83401,327736663.490526,327738654.735237,1684.8121109651402,0,327740.348302637
SC000,0,STUDY1,ENCODING_LONG,162,327743348.60508204,327743377.16388,327745367.619205,1783.604029507842,0,327747.1607679095
SC000,0,STUDY1,ENCODING_LONG,163,327750165.992916,327750187.546251,327752176.51954603,2530.275925528258,0,327754.7178221765
SC000,0,STUDY1,ENCODING_LONG,164,327757718.002128,327757757.941646,327759729.612551,2486.05010000756,0,327762.243991746
SC000,0,STUDY1,ENCODING_LONG,165,327765249.47857404,327765269.31009,327767257.769773,2349.712337483652,0,327769.6190224275
SC000,0,STUDY1,ENCODING_LONG,166,327772619.58743703,327772648.494824,327774638.647524,1229.4216974987648,0,327775.8779165215
SC000,0,STUDY1,ENCODING_LONG,167,327778878.414362,327778918.66759896,327780890.22257704,1533.7488035438582,0,327782.4524164025
SC000,0,STUDY1,ENCODING_LONG,168,327785458.49384,327785477.873386,327787466.00308394,1903.8155555026606,0,327789.3816889415
SC000,0,STUDY1,ENCODING_LONG,169,327792381.886382,327792412.982838,327794391.031339,1215.6534264795482,0,327795.6286362645
SC000,0,STUDY1,ENCODING_LONG,170,327798628.901008,327798659.234413,327800647.375868,1200.6654280121438,0,327801.859899841
SC000,0,STUDY1,ENCODING_LONG,171,327804865.025001,327804884.616978,327806872.752329,1492.4989540013485,0,327808.377115932
SC000,0,STUDY1,ENCODING_LONG,172,327811377.23062503,327811406.840635,327813394.95664495,1810.8391074929386,0,327815.2176797425
SC000,0,STUDY1,ENCODING_LONG,173,327818218.45936406,327818257.462273,327820228.72363997,2216.3721750257537,0,327822.473834448
SC000,0,STUDY1,ENCODING_LONG,174,327825473.975097,327825501.307619,327827489.41982603,1107.106500538066,0,327828.6084141195
SC000,0,STUDY1,ENCODING_LONG,175,327831608.707469,327831635.513089,327833623.583601,1680.2147234557196,0,327835.31572781247
SC000,0,STUDY1,ENCODING_LONG,176,327838316.386558,327838343.93331796,327840331.87288195,1281.3440055469982,0,327841.62527732353
SC000,0,STUDY1,ENCODING_LONG,177,327844630.428939,327844650.046236,327846638.313028,1102.8518335078843,0,327847.7528980695
SC000,0,STUDY1,ENCODING_LONG,178,327850758.309776,327850777.577895,327852765.45987,1444.158355530817,0,327854.2217362505
SC000,0,STUDY1,ENCODING_LONG,179,327857222.383596,327857261.759296,327859236.544406,1718.3235959964804,0,327860.980082892
SC000,0,STUDY1,ENCODING_LONG,180,327863980.358741,327864018.427049,327865989.963198,3030.833260039799,0,327869.049260309
SC000,0,STUDY1,ENCODING_LONG,181,327872049.497421,327872089.02342,327874060.60446,1378.0093864770606,0,327875.4670328065
SC000,0,STUDY1,ENCODING_LONG,182,327878467.541003,327878507.688214,327880479.701134,1562.3596094665118,0,327882.0700478235
SC000,0,STUDY1,ENCODING_LONG,183,327885076.22712404,327885095.818574,327887086.784467,1412.4762374558486,0,327888.5082948115
SC000,0,STUDY1,ENCODING_LONG,184,327891508.44988304,327891537.320502,327893526.283527,1594.9248149991035,0,327895.132245317
SC000,0,STUDY1,ENCODING_LONG,185,327898133.242962,327898176.069804,327900148.972872,1307.1288735372946,0,327901.48319867754
